Project Number,Permit Number,Permit Status,TCEQ Received Date,Legal Name,Project Name,County Name,BTM Onsite Datacenter,Site Name,Capacity (MW),Turbine / Engine Model,OEM,Status,Sources
408828,180360,EFFECTIVE,2026-05-04T00:00:00.000000,Rpc Merchant LLC,STANDARD PERMIT FOR EXISTING REGISTRATION,WARD,FALSE,,,,,,
381658,177873,EFFECTIVE,2024-10-14T00:00:00.000000,"Kodiak Generation, L.L.C.",STANDARD PERMIT NEW REGISTRATION,REEVES,FALSE,,,,,,
396366,GHGPSDTX255,EFFECTIVE,2025-08-04T00:00:00.000000,Pacifico Gw LLC,POWER GENERATION FACILITY,PECOS,TRUE,GW Ranch Energy Center,5000,['SGT-800'],['Siemens Energy'],Announced,"['TCEQ NSR Air Permit', 'TCEQ Records', 'Oil and Gas Watch']"
389727,179308,EFFECTIVE,2025-03-03T00:00:00.000000,"Pecos Power Generation Company, LLC",STANDARD PERMIT NEW REGISTRATION,REEVES,TRUE,Pecos Power Generation,478,['SGT-800'],['Siemens Energy'],Permitted,"['TCEQ NSR Air Permit', 'TCEQ Records', 'Oil and Gas Watch']"
381183,177154,EFFECTIVE,2024-10-07T00:00:00.000000,Rpc Merchant LLC,STANDARD PERMIT FOR EXISTING REGISTRATION,WARD,FALSE,,,,,,
409617,180362,EFFECTIVE,2026-05-19T00:00:00.000000,"Conduit Edge, LLC",STANDARD PERMIT FOR EXISTING REGISTRATION,REEVES,FALSE,,,,,,
402447,182541,EFFECTIVE,2025-12-19T00:00:00.000000,Featherwood Capital LLC.,STANDARD PERMIT NEW REGISTRATION,REEVES,TRUE,Featherwood Energies Pecos Plant,931,['SGT-800'],['Siemens Energy'],Permitted,"['TCEQ NSR Air Permit', 'TCEQ Records', 'Oil and Gas Watch']"
395516,GHGPSDTX237,EFFECTIVE,2025-07-15T00:00:00.000000,"Cpv Basin Ranch, LLC",AIR NEW SOURCE REVIEW (NSR) CHANGE OF OWNERSHIP,WARD,FALSE,,,,,,
410845,176054,EFFECTIVE,2026-06-10T00:00:00.000000,"Hen Power Marketing, L.L.C.",STANDARD PERMIT FOR EXISTING REGISTRATION,REEVES,FALSE,,,,,,
406111,183235,EFFECTIVE,2026-03-09T00:00:00.000000,Poolside Lf Phase 2 Dc Ops LLC,STANDARD PERMIT NEW REGISTRATION,PECOS,TRUE,Poolside Data Center Pecos County II,332.28,"['TM2500 Gen 8', 'TM2500+']","['General Electric', 'General Electric']",Permitted,"['TCEQ NSR Air Permit', 'TCEQ Records', 'Oil and Gas Watch']"
372665,176053,CANCELLED,2024-04-11T00:00:00.000000,"Hen Power Marketing, L.L.C.",STANDARD PERMIT NEW REGISTRATION,REEVES,FALSE,,,,,,
399548,GHGPSDTX260,PENDING,2025-10-17T00:00:00.000000,Energy Forge One LLC,ELECTRIC POWER GENERATION FACILITY,REEVES,TRUE,Kilby Power Plant,2869,"['7HA.02', 'Titan 350', 'Titan 130']","['General Electric', 'Solar Turbines', 'Solar Turbines']",Permitted,"['TCEQ NSR Air Permit', 'TCEQ Records', 'Oil and Gas Watch']"
381184,177155,EFFECTIVE,2024-10-07T00:00:00.000000,Rpc Merchant LLC,STANDARD PERMIT FOR EXISTING REGISTRATION,WARD,FALSE,,,,,,
398237,181538,EFFECTIVE,2025-09-16T00:00:00.000000,Coyanosa Thermal Facility I LLC,STANDARD PERMIT NEW REGISTRATION,REEVES,FALSE,,,,,,
380834,177736,EFFECTIVE,2024-09-30T00:00:00.000000,Et Genco LLC,STANDARD PERMIT NEW REGISTRATION,WARD,FALSE,,,,,,
395111,180759,EFFECTIVE,2025-07-03T00:00:00.000000,"Priority Power Management, LLC",STANDARD PERMIT NEW REGISTRATION,LOVING,FALSE,,,,,,
404700,182934,EFFECTIVE,2026-02-06T00:00:00.000000,Liberty Power Innovations LLC,STANDARD PERMIT NEW REGISTRATION,WARD,FALSE,,,,,,
385199,178398,CANCELLED,2024-11-26T00:00:00.000000,Pecos Power Plant LLC,STANDARD PERMIT NEW REGISTRATION,REEVES,FALSE,,,,,,
408729,183912,EFFECTIVE,2026-05-01T00:00:00.000000,"Conduit Edge, LLC",STANDARD PERMIT NEW REGISTRATION,REEVES,FALSE,,,,,,
396507,GHGPSDTX257,PENDING,2025-08-07T00:00:00.000000,Nrg Wolf Bone Energy Center LLC,ELECTRIC POWER GENERATION FACILITY,REEVES,FALSE,,,,,,
410474,174494,EFFECTIVE,2026-05-29T00:00:00.000000,Xenergy Plus Inc,STANDARD PERMIT FOR EXISTING REGISTRATION,WARD,TRUE,Xenergy Monahans 1,118.98,"['HSI6CP350NG', '16M33D1280NG11']","['Baudouin', 'Baudouin']",Permitted,"['TCEQ NSR Air Permit', 'TCEQ Records', 'Oil and Gas Watch']"
374640,176519,EFFECTIVE,2024-05-31T00:00:00.000000,Longfellow Power LLC,STANDARD PERMIT NEW REGISTRATION,PECOS,FALSE,,,,,,
381182,177130,EFFECTIVE,2024-10-07T00:00:00.000000,Rpc Merchant LLC,STANDARD PERMIT FOR EXISTING REGISTRATION,REEVES,FALSE,,,,,,
384334,178270,CANCELLED,2024-11-15T00:00:00.000000,Rpc Merchant LLC,STANDARD PERMIT NEW REGISTRATION,REEVES,FALSE,,,,,,
374664,176526,EFFECTIVE,2024-06-02T00:00:00.000000,Hashland Inc,STANDARD PERMIT NEW REGISTRATION,PECOS,FALSE,,,,,,
398190,GHGPSDTX258,EFFECTIVE,2025-09-15T00:00:00.000000,Pecos Power Plant LLC,ELECTRIC GENERATION PLANT,REEVES,FALSE,,,,,,
387315,PSDTX1660,EFFECTIVE,2025-01-12T00:00:00.000000,"Blue Origin Manufacturing, LLC",CHEMICAL STEAM GENERATION PROCESS,CULBERSON,FALSE,,,,,,
409633,183234,EFFECTIVE,2026-05-20T00:00:00.000000,"Circe Energy, LLC",STANDARD PERMIT FOR EXISTING REGISTRATION,WARD,TRUE,Circe Energy Data Centers E Monahans Campus,400,['HSK78G'],['Cummins'],Permitted,"['TCEQ NSR Air Permit', 'TCEQ Records', 'Oil and Gas Watch']"
398180,181521,EFFECTIVE,2025-09-15T00:00:00.000000,Longfellow Power LLC,STANDARD PERMIT NEW REGISTRATION,PECOS,TRUE,Rock House Draw Generating Station,576,"['TM2500 Gen 8', 'TM2500+']","['General Electric', 'General Electric']",Permitted,"['TCEQ NSR Air Permit', 'TCEQ Records', 'Oil and Gas Watch']"
398911,181782,EFFECTIVE,2025-10-07T00:00:00.000000,Et Genco LLC,STANDARD PERMIT NEW REGISTRATION,CULBERSON,FALSE,,,,,,
385412,GHGPSDTX246,EFFECTIVE,2024-12-03T00:00:00.000000,Luminant Generation Company LLC,STEAM ELECTRIC STATION,WARD,FALSE,,,,,,